"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","","100","100","97.1428604125977","100","97.0297012329102","98.9898986816406","100","98.9130401611328","97.8494567871094","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8684005737305","78.0820770263672","80.1193923950195","78.762939453125","","","80.3003768920898","78.7414016723633","76.550163269043","76.6234664916992","72.111686706543","70.2474365234375","70.05859375","71.4174880981445","69.1666793823242","70.1600494384766","70.3564224243164","73.5301284790039","72.349739074707","72.0949630737305","70.1906814575195","","","","",
"Afghanistan","AFG","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.5973663330078","70.5216293334961","55.9527702331543","54.2568893432617","56.3684387207031","53.116081237793","57.6101493835449","59.4384918212891","62.3371505737305","59.2743301391602","68.0000228881836","59.1026382446289","60.5134391784668","64.0870666503906","64.775390625","65.502197265625","66.5102767944336","70.2815399169922","74.1858520507812","70.4779281616211","69.7918014526367","","",
"Angola","AGO","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.1762008666992","","","","","","","","","","91.9809112548828","","","",
"Albania","ALB","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2098999023438","","","",
"Andorra","AND","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8348007202148","90.3175506591797","89.1894302368164","87.4361572265625","86.4714889526367","86.278938293457","85.4291763305664","82.2122497558594","82.6746292114258","83.6581573486328","82.7076797485352","81.9926528930664","82.9309692382812","84.2380905151367","83.6411666870117","82.4507904052734","83.9181137084961","86.3943023681641","84.0178298950195","",
"United Arab Emirates","ARE","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6682510375977","68.6755981445312","","","","","","","100","100","100","100","100","","","100","100","","","100","",
"Argentina","ARG","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.6666717529297","","","","","84.4827575683594","22.4489803314209","","","","","","","","","","","","","","64.6039581298828","66.8526763916016","65.5829620361328","72.1504135131836","75.090690612793","",
"American Samoa","ASM","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7837791442871","","","","","","","70.7317123413086","52.2727317810059","65.7142868041992","57.1428604125977","54.5454483032227","40.6779708862305","","81.132080078125","56","","33.8028182983398","37.7049179077148","27.6923084259033","","","","","",
"Australia","AUS","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9688568115234","99.9845199584961","99.939697265625","100","99.3768997192383","99.533576965332","99.9026565551758","100","99.9830703735352","99.8593978881836","","99.9209518432617","99.9595413208008","99.9760437011719","99.5522384643555","","","","97.8694305419922","96.5280227661133","99.0365371704102","99.8113174438477","99.8058319091797","99.7167129516602","98.9530792236328","",
"Burundi","BDI","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.3192672729492","","80.5934906005859","","87.8216781616211","","","93.1441116333008","","89.2934036254883","100","100","100","100","100","","","","","",
"Belgium","BEL","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9863891601562","63.5995712280273","","","76.3322067260742","69.8814926147461","","","","","39.3492584228516","42.1372985839844","46.8161697387695","","","68.4945983886719","70.0198364257812","70.909309387207","69.3349227905273","70.8407592773438","71.4216384887695","76.2391815185547","74.3472595214844","","","",
"Burkina Faso","BFA","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.1392822265625","","85.7125625610352","88.5387496948242","86.991096496582","85.3686218261719","85.9880523681641","85.8715667724609","83.665771484375","","","92.7779235839844","82.8880310058594","","82.1394424438477","71.0725708007812","81.7385025024414","83.2736206054688","83.9824829101562","84.9712295532227","86.9443588256836","83.9904022216797","85.7295074462891","",
"Bangladesh","BGD","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.8101387023926","49.8885612487793","55.1514511108398","52.1748886108398","54.8094482421875","","59.7681083679199","","","","46.8517417907715","47.9660034179688","49.2423629760742","41.848560333252","72.5547790527344","68.3861694335938","69.1790084838867","74.7038345336914","77.0392761230469","",
"Bulgaria","BGR","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Trained teachers in primary education, male (% of male teachers)","SE.PRM.TCAQ.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.2033081054688","79.9313125610352","79.770637512207","80.7897109985352","80.4950866699219","81.8757934570312","82.1141586303711","100","100","100","","100","100","",
