"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","","100","100","100","100","100","100","100","100","99.8031463623047","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.2793502807617","83.7686386108398","84.3169631958008","85.3477020263672","","","83.7201614379883","81.7492980957031","79.3276519775391","80.211067199707","75.3999328613281","74.9011688232422","74.3056564331055","73.1726226806641","69.7678527832031","67.8256607055664","68.2647476196289","71.0862884521484","70.7166976928711","70.0140991210938","68.8315200805664","","","","",
"Afghanistan","AFG","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.2170562744141","82.4288330078125","65.8794021606445","65.9339904785156","66.0440063476562","60.3108711242676","68.5273818969727","70.472526550293","71.3666763305664","64.2654037475586","73.2869110107422","58.1321601867676","60.7381286621094","64.2418594360352","64.7701797485352","65.7280426025391","66.9161071777344","68.1579208374023","69.6348495483398","67.5421981811523","66.58740234375","","",
"Angola","AGO","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.4518203735352","","","","","","","","","","94.5876693725586","","","",
"Albania","ALB","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0834808349609","","","",
"Andorra","AND","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1261978149414","92.6471862792969","91.0068893432617","91.9305572509766","93.4453277587891","91.8984375","88.3251113891602","82.0593566894531","82.4161911010742","82.2267837524414","81.5896301269531","81.3251037597656","81.6626129150391","81.5716094970703","79.8096694946289","79.4805526733398","81.3197631835938","80.9008102416992","79.8233413696289","",
"United Arab Emirates","ARE","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9926490783691","58.3579292297363","","","","","","","100","100","100","100","100","","","100","100","","","100","",
"Argentina","ARG","Trained teachers in primary education, female (% of female teachers)","SE.PRM.TCAQ.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
