IndicatorId,Indicator
HA_AATT_M_SEC,Accepting attitudes - Not secretive about family member's HIV status (4) [Men]
HA_AATT_W_SEC,Accepting attitudes - Not secretive about family member's HIV status (4) [Women]
HA_AATT_M_CRE,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Men]
HA_AATT_W_CRE,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women]
HC_AGEG_P_ADL,Adolescents 10-19
MM_AMRT_W_AMR,Adult female mortality rate
MM_AMRT_M_AMR,Adult male mortality rate
HC_AGEG_P_ADT,Adult population 18+
HA_ASEC_M_AGR,Adult support of education on condom use for prevention of HIV/AIDS among young men
HA_ASEC_W_AGR,Adult support of education on condom use for prevention of HIV/AIDS among young women
MA_ADIF_W_O10,Age difference between man and woman is 10+ years
MA_ADIF_W_O05,Age difference between man and woman is 5-9 years
MA_ADIF_W_O01,Age difference between man and woman is <5 years
MA_ADIF_W_TOT,Age difference: Total
MA_ADIF_W_MIS,Age of man missing
FE_FRTR_W_A10,Age specific fertility rate: 10-14
FE_FRTT_W_A10,Age specific fertility rate: 10-14 (five year periods)
FE_FRTR_W_A15,Age specific fertility rate: 15-19
FE_FRTT_W_A15,Age specific fertility rate: 15-19 (five year periods)
FE_FRTR_W_A20,Age specific fertility rate: 20-24
FE_FRTT_W_A20,Age specific fertility rate: 20-24 (five year periods)
FE_FRTR_W_A25,Age specific fertility rate: 25-29
FE_FRTT_W_A25,Age specific fertility rate: 25-29 (five year periods)
FE_FRTR_W_A30,Age specific fertility rate: 30-34
FE_FRTT_W_A30,Age specific fertility rate: 30-34 (five year periods)
FE_FRTR_W_A35,Age specific fertility rate: 35-39
FE_FRTT_W_A35,Age specific fertility rate: 35-39 (five year periods)
FE_FRTR_W_A40,Age specific fertility rate: 40-44
FE_FRTT_W_A40,Age specific fertility rate: 40-44 (five year periods)
FE_FRTR_W_A45,Age specific fertility rate: 45-49
FE_FRTT_W_A45,Age specific fertility rate: 45-49 (five year periods)
CN_IYCB_C_AGA,Age-appropriate breastfeeding 0-23 months
CH_DISA_C_GHC,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a government health center"
CH_DISA_C_GHS,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a government hospital"
CH_DISA_C_MKT,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a market"
CH_DISA_C_OSR,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a non-medical source"
CH_DISA_C_PDR,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private doctor"
CH_DISA_C_PFW,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private fieldworker"
CH_DISA_C_PHS,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private hospital/clinic"
CH_DISA_C_PRV,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private medical sector facility"
CH_DISA_C_PPH,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private pharmacy"
CH_DISA_C_GFW,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a public fieldworker"
CH_DISA_C_PUB,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a public sector facility"
CH_DISA_C_SHP,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a shop"
CH_DISA_C_TRP,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a traditional practitioner"
CH_DISA_C_POT,"Among children with diarrhea for whom advice or treatment was sought, children receiving from another private sector facility"
CH_DISA_C_GOT,"Among children with diarrhea for whom advice or treatment was sought, children receiving from another public sector facility"
CH_DISA_C_OTH,"Among children with diarrhea for whom advice or treatment was sought, children receiving from any other source"
CH_DISO_C_GHC,"Among children with diarrhea who received ORS, advice or treatment from a government health center"
CH_DISO_C_GHS,"Among children with diarrhea who received ORS, advice or treatment from a government hospital"
CH_DISO_C_MKT,"Among children with diarrhea who received ORS, advice or treatment from a market"
CH_DISO_C_OSR,"Among children with diarrhea who received ORS, advice or treatment from a non-medical source"
CH_DISO_C_PDR,"Among children with diarrhea who received ORS, advice or treatment from a private doctor"
CH_DISO_C_PFW,"Among children with diarrhea who received ORS, advice or treatment from a private fieldworker"
CH_DISO_C_PHS,"Among children with diarrhea who received ORS, advice or treatment from a private hospital/clinic"
CH_DISO_C_PRV,"Among children with diarrhea who received ORS, advice or treatment from a private medical sector facility"
CH_DISO_C_PPH,"Among children with diarrhea who received ORS, advice or treatment from a private pharmacy"
CH_DISO_C_GFW,"Among children with diarrhea who received ORS, advice or treatment from a public fieldworker"
CH_DISO_C_PUB,"Among children with diarrhea who received ORS, advice or treatment from a public sector facility"
CH_DISO_C_SHP,"Among children with diarrhea who received ORS, advice or treatment from a shop"
CH_DISO_C_TRP,"Among children with diarrhea who received ORS, advice or treatment from a traditional practitioner"
CH_DISO_C_POT,"Among children with diarrhea who received ORS, advice or treatment from another private sector facility"
CH_DISO_C_GOT,"Among children with diarrhea who received ORS, advice or treatment from another public sector facility"
CH_DISO_C_OTH,"Among children with diarrhea who received ORS, advice or treatment from any other source"
CH_DISS_C_GHC,"Among children with diarrhea, advice or treatment sought from a government health center"
CH_DISS_C_GHS,"Among children with diarrhea, advice or treatment sought from a government hospital"
CH_DISS_C_MKT,"Among children with diarrhea, advice or treatment sought from a market"
CH_DISS_C_OSR,"Among children with diarrhea, advice or treatment sought from a non-medical source"
CH_DISS_C_PDR,"Among children with diarrhea, advice or treatment sought from a private doctor"
CH_DISS_C_PFW,"Among children with diarrhea, advice or treatment sought from a private fieldworker"
CH_DISS_C_PHS,"Among children with diarrhea, advice or treatment sought from a private hospital/clinic"
CH_DISS_C_PRV,"Among children with diarrhea, advice or treatment sought from a private medical sector facility"
CH_DISS_C_PPH,"Among children with diarrhea, advice or treatment sought from a private pharmacy"
CH_DISS_C_GFW,"Among children with diarrhea, advice or treatment sought from a public fieldworker"
CH_DISS_C_PUB,"Among children with diarrhea, advice or treatment sought from a public sector facility"
CH_DISS_C_SHP,"Among children with diarrhea, advice or treatment sought from a shop"
CH_DISS_C_TRP,"Among children with diarrhea, advice or treatment sought from a traditional practitioner"
CH_DISS_C_POT,"Among children with diarrhea, advice or treatment sought from another private sector facility"
CH_DISS_C_GOT,"Among children with diarrhea, advice or treatment sought from another public sector facility"
CH_DISS_C_OTH,"Among children with diarrhea, advice or treatment sought from any other source"
RH_ANCS_W_BLP,Antenatal care content (of ANC): Blood pressure measured
RH_ANCS_W_BLS,Antenatal care content (of ANC): Blood sample taken
RH_ANCS_W_HGT,Antenatal care content (of ANC): Height measured
RH_ANCS_W_SGN,Antenatal care content (of ANC): Informed of signs of pregnancy complications
RH_ANCS_W_URN,Antenatal care content (of ANC): Urine sample taken
RH_ANCS_W_WGT,Antenatal care content (of ANC): Weight measured
RH_ANCC_W_IRN,Antenatal care content: Received iron tablets or syrup
RH_ANCP_W_SKP,Antenatal care from a skilled provider
RH_ANCP_W_AUX,Antenatal care provider: Auxiliary nurse/midwife
RH_ANCP_W_CHW,Antenatal care provider: Community health worker
RH_ANCP_W_DOC,Antenatal care provider: Doctor
RH_ANCP_W_MIS,Antenatal care provider: Missing 
RH_ANCP_W_NRS,Antenatal care provider: Nurse/midwife
RH_ANCP_W_OTH,Antenatal care provider: Other
RH_ANCP_W_TBA,Antenatal care provider: Traditional birth attendant
RH_ANCP_W_TOT,Antenatal care: Total
RH_ANCN_W_N01,Antenatal visits for pregnancy: 1
RH_ANCN_W_N23,Antenatal visits for pregnancy: 2-3 visits
RH_ANCN_W_N4P,Antenatal visits for pregnancy: 4+ visits
RH_ANCN_W_N8P,Antenatal visits for pregnancy: 8+ visits
RH_ANCN_W_NON,Antenatal visits for pregnancy: None
RH_ANCN_W_DKM,Antenatal visits for pregnancy: don't know or missing
CH_DSTL_C_SAF,Appropriate disposal of stools
RH_DELA_C_SKP,Assistance during delivery from a skilled provider
RH_DELA_C_AUX,Assistance during delivery: Auxiliary nurse/midwife
RH_DELA_C_DOC,Assistance during delivery: Doctor
RH_DELA_C_NON,Assistance during delivery: No one
RH_DELA_C_NRS,Assistance during delivery: Nurse/midwife
RH_DELA_C_REL,Assistance during delivery: Relative or other
RH_DELA_C_TOT,Assistance during delivery: Total
RH_DELA_C_TBA,Assistance during delivery: Traditional birth attendant
